rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
48,699bd5294583baeaf6e67a79,ORD-000071,699bd5294583baeaf6e67aba,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
49,699bd5e94583baeaf6e67de0,ORD-000083,699bd5e94583baeaf6e67df2,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
50,699bebbf4583baeaf6e694de,ORD-000029,699bebbf4583baeaf6e694e8,issued,ORD-000029,69df238300ca64e3cf525543,69e24f2e34696b42ea75499a,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
51,699bec2c4583baeaf6e698d1,ORD-000087,699bec2c4583baeaf6e698d5,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
52,699bf24f4583baeaf6e6ccba,ORD-000076,699bf24f4583baeaf6e6ccc1,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
53,699bf24f4583baeaf6e6ccbc,ORD-000051,699bf24f4583baeaf6e6ccc3,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
54,699bf8a94583baeaf6e6fe12,ORD-000076,699bf8a94583baeaf6e6fe24,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
55,699bf8a94583baeaf6e6fe14,ORD-000076,699bf8a94583baeaf6e6fe26,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
56,699bf8a94583baeaf6e6fe15,ORD-000076,699bf8a94583baeaf6e6fe27,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
57,699bf95d4583baeaf6e7074a,ORD-000051,699bf95d4583baeaf6e70753,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
58,699c44544583baeaf6e8127a,ORD-000022,699c44544583baeaf6e81286,issued,ORD-000022,69d4acca2614366a5d8b8ac7,69d78e40edc59d9ec1028b99,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
59,699c56cc4583baeaf6e871fb,ORD-000079,699c56cc4583baeaf6e871fe,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
60,699d8f30c926fc0fe856be06,ORD-000088,699d8f30c926fc0fe856be18,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
61,699d9812c926fc0fe856ced8,ORD-000084,699d9812c926fc0fe856ceda,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
62,699da6e1c926fc0fe856e480,ORD-000069,699da6e1c926fc0fe856e4a8,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
