cone_barcode,order_no,article_number,current_issue_status,current_weight_db,actual_weight,location_to_allocate
69b263f0a37559f46ce1ca19,ORD-000050,A3419,issued,0.688,0.798,B7-01-S0043-F02
69b3c6dd9a152b0d31d7dd56,ORD-000004,A572,not_issued,0.088,0.124,B7-01-S0013-F02
69b51f04e0bcee26efe02b25,ORD-000005,A5466,not_issued,0.634,0.396,B7-01-S0043-F02
69b7880ca6225d28d31c08c2,ORD-000013,A6311,not_issued,0.077,0.132,B7-01-S0040-F01
69b7dfa8a6225d28d31cae59,ORD-000030,A049,not_issued,1.374,0.7180001,B7-01-S0043-F02
69bbb06b0490966d869d5828,ORD-000005,A580,not_issued,0.092,0.148,B7-01-S0036-F03
69bbb6c20490966d869d61fe,ORD-000015,A6125,not_issued,0.027,0.13,B7-01-S0036-F03
69bbb6c20490966d869d6201,ORD-000024,A6302,issued,0.408,0.474,B7-01-S0036-F03
69bbb6c20490966d869d6203,ORD-000024,A6302,issued,0.864,0.002,B7-01-S0036-F03
69bbb6c20490966d869d6209,ORD-000024,A6302,issued,0.714,0.7040001,B7-01-S0036-F03
69bbb6c20490966d869d620a,ORD-000024,A6302,issued,0.76,0.744,B7-01-S0036-F03
69bbb6c20490966d869d6216,ORD-000024,A6302,issued,0.69,0.758,B7-01-S0036-F03
69bce214d795f08eb499d9bf,ORD-000041,A5954,issued,0.652,0.104,B7-01-S0036-F03
69bd52e622f72a9b530d580e,ORD-000024,A6216,issued,0.846,0.854,B7-01-S0030-F02
69bf882abeea45a970c39d68,,,not_issued,0.118,0.094,B7-01-S0036-F03
69bfb2aebeea45a970c3f06a,ORD-000005,A049,not_issued,1.337,1.19,B7-01-S0043-F02
69bfb2aebeea45a970c3f06b,ORD-000005,A5428,not_issued,1.01,0.28,B7-01-S0043-F02
69bfb2aebeea45a970c3f06d,ORD-000005,A253,not_issued,0.988,0.408,B7-01-S0043-F02
69c0fd06beea45a970c48867,ORD-000027,A3171,issued,0.524,0.002,B7-01-S0036-F03
69c3cd6ea7819fd050b1fbf2,ORD-000027,A3156,issued,0.604,0.322,B7-01-S0036-F03
69c3db2ba7819fd050b24344,ORD-000027,A3156,issued,0.646,0.002,B7-01-S0036-F03
69c60a8314badff1b9e42e78,ORD-000024,A6212,issued,0,0.354,B7-01-S0040-F01
69c61a7114badff1b9e4c85c,ORD-000024,A6216,issued,1.054,0.882,B7-01-S0030-F02
69c652f214badff1b9e6b4f1,ORD-000038,A070,issued,1.052,0.984,B7-01-S0030-F02
69c656b114badff1b9e6c5ee,,,not_issued,0.752,0.766,B7-01-S0036-F03
69c658a114badff1b9e6cbe9,ORD-000026,A591,issued,0.508,0.224,B7-01-S0013-F02
69c658a114badff1b9e6cbf3,ORD-000026,A591,issued,0.742,0.002,B7-01-S0013-F02
69c773b9a077d3fbb38e2161,,,not_issued,0.536,0.534,B7-01-S0036-F03
69c79bfda077d3fbb390069e,,,not_issued,0.462,0.482,B7-01-S0031-F03
69c79bfda077d3fbb39006a0,,,not_issued,0.462,0.002,B7-01-S0031-F03
69c79bfda077d3fbb39006a1,,,not_issued,0.438,0.002,B7-01-S0031-F03
69c79bfda077d3fbb39006a2,,,not_issued,0.39,0.406,B7-01-S0031-F03
69c79bfda077d3fbb39006a3,,,not_issued,0.4,0.41,B7-01-S0031-F03
69c79bfda077d3fbb39006a4,,,not_issued,0.42,0.438,B7-01-S0031-F03
69c7b25fa077d3fbb3908ac5,,,not_issued,0.21,0.21,B7-01-S0031-F03
69c7b25fa077d3fbb3908ac7,,,not_issued,0.39,0.418,B7-01-S0031-F03
69c7b25fa077d3fbb3908ac8,,,not_issued,0.426,0.436,B7-01-S0031-F03
69c7b25fa077d3fbb3908ac9,,,not_issued,0.258,0.002,B7-01-S0031-F03
69c7b25fa077d3fbb3908aca,,,not_issued,0.21,0.232,B7-01-S0031-F03
69c7b25fa077d3fbb3908acb,,,not_issued,0.206,0.002,B7-01-S0031-F03
69c7b25fa077d3fbb3908acc,,,not_issued,0.222,0.002,B7-01-S0031-F03
69c7b25fa077d3fbb3908acd,,,not_issued,0.234,0.252,B7-01-S0031-F03
69c7b25fa077d3fbb3908ace,,,not_issued,0.13,0.152,B7-01-S0031-F03
69c7b2af7b9dd20a8569cb66,,,not_issued,0.108,0.11,B7-01-S0031-F03
69c7b2af7b9dd20a8569cb67,,,not_issued,0.192,0.194,B7-01-S0031-F03
69c7b2af7b9dd20a8569cb68,,,not_issued,0.37,0.002,B7-01-S0031-F03
69c7b2af7b9dd20a8569cb69,,,not_issued,0.112,0.114,B7-01-S0031-F03
69c7b2c47b9dd20a8569cc09,,,not_issued,0.104,0.116,B7-01-S0044-F01
69c7b2c47b9dd20a8569cc24,ORD-000041,A5954,issued,0.032,0.13,B7-01-S0044-F01
69c7be1d7b9dd20a856a0588,ORD-000042,A049,issued,0.288,0.39,B7-01-S0044-F01
69cb6c36ff9f99209b65ac02,ORD-000007,A5445,not_issued,0.053,0.104,B7-01-S0030-F02
69ccccfdff9f99209b697792,ORD-000024,A6216,issued,0.942,0.9400001,B7-01-S0043-F02
69cdf782ff9f99209b6c745d,,,not_issued,0.348,0.342,B7-01-S0044-F01
69cdf782ff9f99209b6c747a,ORD-000016,A591,not_issued,0.316,0.002,B7-01-S0044-F01
69cdf782ff9f99209b6c747b,ORD-000024,A6302,issued,0.294,0.002,B7-01-S0044-F01
69ce1a8cff9f99209b6cf29e,ORD-000041,A6068,issued,1.266,1.174,B7-01-S0030-F02
69ce1a8cff9f99209b6cf29f,ORD-000041,A6068,issued,1.26,1.316,B7-01-S0030-F02
69cfb30d97fe9152fa9dac07,ORD-000041,A6068,issued,0.214,0.312,B7-01-S0044-F01
69d3392a97fe9152faa566f2,ORD-000020,A6158,not_issued,0.923,0.9760001,B7-01-S0013-F02
69d3566297fe9152faa5bf9d,ORD-000041,A5954,issued,0.339,0.358,B7-01-S0036-F03
69d48bfb2614366a5d8abe04,ORD-000024,A6216,issued,1.182,1.204,B7-01-S0030-F02
69d48bfb2614366a5d8abe06,ORD-000024,A6216,issued,1.184,1.202,B7-01-S0030-F02
69d48bfb2614366a5d8abe0c,ORD-000024,A6216,issued,1.178,1.196,B7-01-S0030-F02
69d48bfb2614366a5d8abe11,ORD-000024,A6216,issued,1.232,0.04,B7-01-S0030-F02
69d48bfb2614366a5d8abe14,ORD-000024,A6216,issued,1.186,1.19,B7-01-S0030-F02
69d48c2a2614366a5d8abf4a,ORD-000024,A6216,issued,1.16,1.17,B7-01-S0030-F02
69d48c2a2614366a5d8abf4d,ORD-000024,A6216,issued,1.166,1.188,B7-01-S0030-F02
69d48c5b2614366a5d8ac0a9,ORD-000041,A5954,issued,0.608,0.002,B7-01-S0030-F02
69d4afff2614366a5d8b9349,ORD-000030,A308,issued,0.698,0.618,B7-01-S0036-F03
69d4b0332614366a5d8b94e6,ORD-000026,A591,issued,0.97,0.002,B7-01-S0036-F03
69d4d551b89662732f7eea3e,ORD-000024,A6302,issued,1.262,0.23,B7-01-S0040-F01
69d4da33b89662732f7f1a1d,ORD-000024,A6216,issued,1.094,0.998,B7-01-S0040-F01
69d4ee32b89662732f7fa235,ORD-000027,A3172,issued,0.245,0.002,B7-01-S0036-F03
69d63582b89662732f83d0ba,ORD-000051,A6474,issued,0.71,0.002,B7-01-S0036-F03
69d63582b89662732f83d0bf,ORD-000051,A6474,issued,0.694,0.702,B7-01-S0036-F03
69d7261cedc59d9ec1fe78da,ORD-000022,A4426,issued,0.952,0.626,B7-01-S0036-F03
69d7261cedc59d9ec1fe78db,ORD-000022,A4426,issued,1.008,0.906,B7-01-S0036-F03
69d7261cedc59d9ec1fe78e3,ORD-000022,A4426,issued,0.976,0.9860001,B7-01-S0036-F03
69d7261cedc59d9ec1fe78e9,ORD-000022,A4426,issued,1.046,0.6900001,B7-01-S0036-F03
69d7261cedc59d9ec1fe78f0,ORD-000022,A4426,issued,0.89,0.878,B7-01-S0036-F03
69d72633edc59d9ec1fe79a8,ORD-000022,A4426,issued,1.292,0.832,B7-01-S0040-F01
69d72633edc59d9ec1fe79b7,ORD-000022,A4426,issued,1.306,0.744,B7-01-S0040-F01
69d72ecfedc59d9ec1ff336b,ORD-000028,A4577,issued,0.184,0.158,B7-01-S0030-F02
69d72f01edc59d9ec1ff3554,ORD-000022,A4426,issued,0.89,0.002,B7-01-S0043-F02
69d72f01edc59d9ec1ff3556,ORD-000038,A070,issued,0.85,0.59,B7-01-S0043-F02
69d72f01edc59d9ec1ff3558,ORD-000022,A4426,issued,0.91,0.002,B7-01-S0043-F02
69d77abcedc59d9ec10227a8,ORD-000041,A5954,issued,0.39,0.15,B7-01-S0036-F03
69d783bcedc59d9ec1024d5c,ORD-000036,A574,issued,0.64,0.166,B7-01-S0036-F03
69d783bcedc59d9ec1024d60,ORD-000036,A574,issued,0.502,0.596,B7-01-S0036-F03
69d78af9edc59d9ec1027f67,ORD-000022,A4426,issued,0.31,0.23,B7-01-S0044-F01
69d78af9edc59d9ec1027f69,ORD-000022,A4426,issued,0.382,0.002,B7-01-S0044-F01
69d78af9edc59d9ec1027f6a,ORD-000022,A4426,issued,0.358,0.414,B7-01-S0044-F01
69d877dcedc59d9ec103e899,,,not_issued,1,1.002,B7-01-S0036-F03
69d8b21cedc59d9ec1056e9d,ORD-000024,A6216,issued,0.98,1.0,B7-01-S0040-F01
69d8b21cedc59d9ec1056ea2,ORD-000024,A6216,issued,1.084,1.1,B7-01-S0040-F01
69d8c1adedc59d9ec105d013,ORD-000024,A6302,issued,0.406,0.41,B7-01-S0044-F01
69d8c1adedc59d9ec105d029,ORD-000024,A6302,issued,0.412,0.42,B7-01-S0044-F01
69d8c1adedc59d9ec105d030,ORD-000024,A6302,issued,0.406,0.108,B7-01-S0044-F01
69d9ea81edc59d9ec109de95,ORD-000041,A5954,issued,0.736,0.774,B7-01-S0042-F01
69d9ea81edc59d9ec109de97,ORD-000041,A5954,issued,0.864,0.9160001,B7-01-S0042-F01
69d9ea81edc59d9ec109de9d,ORD-000041,A5954,issued,0.828,0.8380001,B7-01-S0042-F01
69da034fedc59d9ec10a2da2,ORD-000024,A6216,issued,1.686,1.396,B7-01-S0036-F03
69da194cedc59d9ec10aad16,ORD-000024,A6216,issued,1.314,0.108,B7-01-S0040-F01
69dc8f32a19ee8d30f4a05a3,ORD-000024,A6216,issued,0.37,0.374,B7-01-S0044-F01
69dc8f32a19ee8d30f4a05b7,ORD-000024,A6216,issued,0.414,0.05,B7-01-S0044-F01
69dc8f32a19ee8d30f4a05b9,ORD-000024,A6216,issued,0.426,0.43,B7-01-S0044-F01
69dc8f32a19ee8d30f4a05c2,ORD-000024,A6216,issued,0.426,0.432,B7-01-S0044-F01
69dccee3a19ee8d30f4ae8b0,ORD-000024,A6302,issued,1.608,1.398,B7-01-S0036-F03
69dccee3a19ee8d30f4ae8b7,ORD-000024,A6302,issued,1.73,1.49,B7-01-S0036-F03
69ddb364007e05d7e73ec63b,ORD-000024,A6302,issued,2.452,2.5,B7-01-S0030-F02
69ddb364007e05d7e73ec640,ORD-000024,A6302,issued,2.436,0.9160001,B7-01-S0030-F02
69ddb364007e05d7e73ec644,ORD-000024,A6302,issued,2.604,0.002,B7-01-S0030-F02
69ddb364007e05d7e73ec647,ORD-000024,A6302,issued,3.118,1.322,B7-01-S0030-F02
69ddb364007e05d7e73ec649,ORD-000024,A6302,issued,2.608,2.658,B7-01-S0030-F02
69ddb364007e05d7e73ec64c,ORD-000024,A6302,issued,2.51,2.558,B7-01-S0030-F02
69ddb364007e05d7e73ec652,ORD-000024,A6302,issued,2.486,0.066,B7-01-S0030-F02
69ddb42d007e05d7e73ec8f3,,,not_issued,2.448,0.89,B7-01-S0030-F02
69dde114007e05d7e7404f97,ORD-000010,A5449,issued,0.144,0.404,B7-01-S0044-F01
69dde2ac007e05d7e7405a98,ORD-000027,A4823,issued,1.204,0.528,B7-01-S0013-F02
69de0d81007e05d7e741746f,ORD-000050,A3371,issued,0.155,0.002,B7-01-S0044-F01
69df727300ca64e3cf536a16,ORD-000024,A6302,issued,1.648,1.598,B7-01-S0036-F03
69df727300ca64e3cf536a19,ORD-000024,A6302,issued,1.364,1.4,B7-01-S0036-F03
69df727300ca64e3cf536a1c,ORD-000024,A6302,issued,1.622,1.53,B7-01-S0036-F03
69e0647c00ca64e3cf58e44d,ORD-000035,A903,issued,0.088,0.002,B7-01-S0044-F01
69e0651a00ca64e3cf58e90d,ORD-000024,A6300,issued,0,0.386,B7-01-S0036-F03
69e0651a00ca64e3cf58e918,ORD-000005,A5457,issued,0.966,0.002,B7-01-S0036-F03
69e0651a00ca64e3cf58e919,ORD-000036,A574,issued,0.374,0.466,B7-01-S0036-F03
69e066fa00ca64e3cf58f377,ORD-000024,A6256,not_issued,0.866,0.8660001,B7-01-S0013-F02
69e066fa00ca64e3cf58f37a,ORD-000024,A6256,not_issued,0.822,0.848,B7-01-S0013-F02
69e086d700ca64e3cf594b2c,ORD-000024,A6212,issued,0.918,0.698,B7-01-S0036-F03
69e086d700ca64e3cf594b38,ORD-000028,A4626,issued,1.016,0.642,B7-01-S0036-F03
69e3089634696b42ea7b17b7,ORD-000028,A4607,not_issued,1.01,1.03,B7-01-S0030-F02
69e3142934696b42ea7b40b5,ORD-000041,A6068,issued,1.21,1.156,B7-01-S0030-F02
69e360a34dfe50532a0bea25,ORD-000032,A6141,issued,1.042,0.056,B7-01-S0013-F02
69e5bb944dfe50532a156ff6,ORD-000036,A574,issued,1.164,0.002,B7-01-S0043-F02
69e5bd6d4dfe50532a15776a,ORD-000038,A070,issued,0.098,0.09,B7-01-S0044-F01
69e5be1e4dfe50532a157b9f,ORD-000041,A6068,not_issued,0.674,0.776,B7-01-S0043-F02
69e5c14c4dfe50532a158240,,,not_issued,1.088,1.092,B7-01-S0030-F02
69e5c14c4dfe50532a158253,,,not_issued,1.052,0.572,B7-01-S0030-F02
69e84e35795e8688eebc5a26,ORD-000031,A6243,issued,0.929,0.082,B7-01-S0030-F02
69e84eaa795e8688eebc6233,ORD-000036,A574,issued,0.926,0.9300001,B7-01-S0036-F03
69e84eaa795e8688eebc6243,ORD-000036,A574,issued,0.976,0.9580001,B7-01-S0036-F03
69e84eaa795e8688eebc6249,ORD-000036,A574,issued,0.992,0.606,B7-01-S0036-F03
69e8849a733c29bce005c50e,ORD-000036,A574,issued,0.192,0.19,B7-01-S0044-F01
69e8849a733c29bce005c515,ORD-000036,A574,issued,0.394,0.412,B7-01-S0044-F01
69e8849a733c29bce005c51c,ORD-000036,A574,issued,0.374,0.064,B7-01-S0044-F01
69e8849a733c29bce005c51f,ORD-000036,A574,issued,0.382,0.194,B7-01-S0044-F01
69e8849a733c29bce005c520,ORD-000036,A574,issued,0.396,0.408,B7-01-S0044-F01
69e8849a733c29bce005c524,ORD-000036,A574,issued,0.378,0.402,B7-01-S0044-F01
69e8bdb1733c29bce0096d89,ORD-000027,A3156,issued,0.922,0.558,B7-01-S0043-F02
69e8bea9733c29bce0097268,ORD-000036,A574,issued,0.81,0.304,B7-01-S0036-F03
69e8bea9733c29bce0097276,ORD-000036,A574,issued,0.574,0.8840001,B7-01-S0036-F03
69e8bea9733c29bce009727e,ORD-000041,A6068,issued,1.208,0.6440001,B7-01-S0036-F03
69e9ac64733c29bce00ec223,,,not_issued,0.702,0.106,B7-01-S0040-F01
69e9acff733c29bce00ed8cb,,,not_issued,0.91,0.648,B7-01-S0036-F03
69e9adf2733c29bce00f0907,ORD-000036,A574,issued,1.122,0.83,B7-01-S0013-F02
69e9caea59aa9fc88a54e621,ORD-000041,A5954,issued,0.025,0.95,B7-01-S0030-F02
69e9f2e559aa9fc88a59371d,ORD-000038,A070,issued,0.95,0.236,B7-01-S0036-F03
69eb17c186f7ddd153e5848b,ORD-000036,A644,issued,0.978,0.108,B7-01-S0040-F01
69ec519386f7ddd153ecaaf0,ORD-000041,A5954,issued,2.48,0.002,B7-01-S0030-F02
69ec519386f7ddd153ecaaf1,ORD-000041,A5954,issued,2.534,0.036,B7-01-S0030-F02
69ec519386f7ddd153ecaaf2,ORD-000041,A5954,issued,2.408,0.036,B7-01-S0030-F02
69ec519386f7ddd153ecaaf6,ORD-000041,A6068,issued,2.404,2.178,B7-01-S0030-F02
69ec699386f7ddd153edea20,ORD-000038,A026,issued,1.184,0.044,B7-01-S0030-F02
69ec7ad286f7ddd153ef2661,ORD-000032,A6143,issued,0.426,0.098,B7-01-S0044-F01
69eef55086f7ddd15309ad5d,ORD-000041,A092,issued,1.284,0.06,B7-01-S0030-F02
699aca0e4583baeaf6e65142,,,not_issued,1.074,0.54,B7-01-S0030-F02
69a4155b93145c5b28552f58,ORD-000038,A4554,issued,0.602,0.002,B7-01-S0043-F02
69a4155b93145c5b28552f64,ORD-000022,A4443,not_issued,0.164,0.266,B7-01-S0043-F02
69a5645693145c5b28578b36,ORD-000005,A590,not_issued,0.146,0.09,B7-01-S0036-F03
69a564c693145c5b28578c06,ORD-000015,A6175,not_issued,0.53,0.612,B7-01-S0036-F03
69b1165905b3bddb852811e7,ORD-000027,A4833,not_issued,0.04,0.002,B7-01-S0040-F01
69bfa9a4beea45a970c3e71d,,,not_issued,1.684,0.91,B7-01-S0043-F02
69bfa9a4beea45a970c3e71f,,,not_issued,1.314,1.15,B7-01-S0043-F02
69bfa9a4beea45a970c3e721,,,not_issued,1.182,0.002,B7-01-S0043-F02
69bfa9a4beea45a970c3e723,,,not_issued,1.53,1.106,B7-01-S0043-F02
69bfa9a4beea45a970c3e726,,,not_issued,1.218,0.322,B7-01-S0043-F02
69bfb2aebeea45a970c3f06e,,,not_issued,1.542,0.65,B7-01-S0043-F02
69c229ecbeea45a970c66d3d,,,not_issued,0.896,0.6580001,B7-01-S0043-F02
69c26d4a421268c3c1b3a6a1,ORD-000036,A574,issued,0.115,0.102,B7-01-S0036-F03
69c3e0cea7819fd050b25937,ORD-000010,A4850,not_issued,0.398,0.5,B7-01-S0040-F01
69c653f514badff1b9e6b97d,ORD-000036,A574,issued,0.034,0.11,B7-01-S0036-F03
69c7c6b77b9dd20a856a29e2,ORD-000013,A6214,not_issued,1.032,1.076,B7-01-S0030-F02
69ca3fbc0ab7021c82e50c6b,ORD-000007,A4438,issued,0.017,0.118,B7-01-S0040-F01
69ccc547ff9f99209b697036,,,not_issued,0.236,0.054,B7-01-S0044-F01
69ccccfdff9f99209b697790,ORD-000027,A4823,issued,0.848,0.09200001,B7-01-S0043-F02
69cccd49ff9f99209b697939,,,not_issued,0.984,0.7600001,B7-01-S0040-F01
69d09e6c97fe9152fa9e7d7b,,,not_issued,0.912,0.376,B7-01-S0043-F02
69d4db4ab89662732f7f256a,ORD-000027,A3156,issued,0.342,0.048,B7-01-S0044-F01
69d72f01edc59d9ec1ff354a,,,not_issued,0.88,0.378,B7-01-S0043-F02
69d72f01edc59d9ec1ff3551,ORD-000031,A907,not_issued,0.282,0.274,B7-01-S0043-F02
69d783bcedc59d9ec1024d63,ORD-000036,A574,issued,0.75,0.1,B7-01-S0036-F03
69d8b1e3edc59d9ec1056b92,,,not_issued,1.162,0.002,B7-01-S0040-F01
69d8b230edc59d9ec105716f,,,not_issued,1.086,0.612,B7-01-S0040-F01
69dccf3da19ee8d30f4ae9de,ORD-000027,A4785,issued,1.244,0.002,B7-01-S0040-F01
69e064d600ca64e3cf58e706,ORD-000036,A574,issued,0.378,0.102,B7-01-S0040-F01
69e360c04dfe50532a0beb9e,ORD-000036,A582,issued,0.872,0.044,B7-01-S0013-F02
69e360c04dfe50532a0bebbb,ORD-000036,A582,issued,1.048,0.04,B7-01-S0013-F02
69e5bb944dfe50532a156ff4,ORD-000036,A574,issued,0.924,0.002,B7-01-S0043-F02
69e5bb944dfe50532a156ff8,ORD-000036,A574,issued,0.932,0.108,B7-01-S0043-F02
69e5bb944dfe50532a156fff,,,not_issued,0.93,0.458,B7-01-S0043-F02
69e5bb944dfe50532a157002,ORD-000036,A574,issued,0.892,0.102,B7-01-S0043-F02
69e5bb944dfe50532a157005,ORD-000032,A6141,issued,0.934,0.9400001,B7-01-S0043-F02
69e5ef8b4dfe50532a16ca92,ORD-000036,A574,issued,1.078,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca96,ORD-000036,A574,issued,1.032,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca97,ORD-000036,A574,issued,1.096,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca98,ORD-000036,A574,issued,1.072,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca9a,ORD-000036,A574,issued,1.064,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca9b,ORD-000036,A574,issued,1.034,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16ca9c,ORD-000036,A574,issued,1.028,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa1,ORD-000036,A574,issued,1.056,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa3,ORD-000036,A574,issued,1.082,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa4,ORD-000036,A574,issued,1.048,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa5,ORD-000036,A574,issued,1.012,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa7,ORD-000036,A574,issued,1.152,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa8,ORD-000036,A574,issued,1.09,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16caa9,ORD-000036,A574,issued,1.064,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16caab,ORD-000036,A574,issued,1.098,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16caac,ORD-000036,A574,issued,1.068,0.002,B7-01-S0013-F02
69e5ef8b4dfe50532a16caad,ORD-000036,A574,issued,1.074,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16caae,ORD-000036,A574,issued,1.102,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16caaf,ORD-000036,A574,issued,1.082,0.042,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab0,ORD-000036,A574,issued,1.102,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab1,ORD-000036,A574,issued,1.112,0.046,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab2,ORD-000036,A574,issued,1.152,0.046,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab3,ORD-000036,A574,issued,1.04,0.046,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab4,ORD-000036,A574,issued,1.054,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab5,ORD-000036,A574,issued,1.07,0.046,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab7,ORD-000036,A574,issued,1.064,0.04,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab8,ORD-000036,A574,issued,1.06,0.044,B7-01-S0013-F02
69e5ef8b4dfe50532a16cab9,ORD-000036,A574,issued,1.066,0.044,B7-01-S0013-F02
69e5f1904dfe50532a16de2f,ORD-000036,A903,issued,0.852,0.546,B7-01-S0043-F02
69e71e95f0694e7c1e227f5c,ORD-000036,A582,issued,1.092,0.044,B7-01-S0013-F02
69e71e95f0694e7c1e227f5e,ORD-000036,A574,issued,1.052,0.042,B7-01-S0013-F02
69e71e95f0694e7c1e227f60,ORD-000036,A574,issued,1.076,0.058,B7-01-S0013-F02
69e71e95f0694e7c1e227f62,ORD-000036,A574,issued,1.058,0.044,B7-01-S0013-F02
69e71e95f0694e7c1e227f63,ORD-000036,A574,issued,1.094,0.002,B7-01-S0013-F02
69e71e95f0694e7c1e227f6a,ORD-000036,A582,issued,1.098,0.044,B7-01-S0013-F02
69e71e95f0694e7c1e227f6c,ORD-000036,A574,issued,1.088,0.042,B7-01-S0013-F02
69e71e95f0694e7c1e227f76,ORD-000036,A574,issued,1.096,0.044,B7-01-S0013-F02
69e71e95f0694e7c1e227f77,ORD-000036,A582,issued,1.092,0.044,B7-01-S0013-F02
69e84eaa795e8688eebc6238,ORD-000036,A574,issued,0.974,0.482,B7-01-S0036-F03
69e84eaa795e8688eebc623d,ORD-000036,A574,issued,0.916,0.8940001,B7-01-S0036-F03
69e84eaa795e8688eebc623f,ORD-000036,A574,issued,0.874,0.862,B7-01-S0036-F03
69e84eaa795e8688eebc6240,ORD-000036,A574,issued,0.936,0.108,B7-01-S0036-F03
69e84eaa795e8688eebc6242,ORD-000036,A574,issued,0.918,0.108,B7-01-S0036-F03
69e84eaa795e8688eebc624b,ORD-000036,A574,issued,0.906,0.104,B7-01-S0036-F03
69e8849a733c29bce005c506,ORD-000036,A582,issued,0.396,0.05,B7-01-S0044-F01
69e8849a733c29bce005c516,ORD-000036,A574,issued,0.374,0.05,B7-01-S0044-F01
69e8849a733c29bce005c517,ORD-000036,A574,issued,0.376,0.054,B7-01-S0044-F01
69e8849a733c29bce005c518,ORD-000036,A574,issued,0.384,0.05,B7-01-S0044-F01
69e8849a733c29bce005c519,ORD-000036,A574,issued,0.392,0.05,B7-01-S0044-F01
