rowIndex,barcode,boxId,status,bucket,reason,docId,poNumber,yarnName,yarnCatalogId,beforeBoxWeight,beforeGrossWeight,beforeNumberOfCones,beforeStorageLocation,beforeStoredStatus,afterBoxWeight,afterGrossWeight,afterNumberOfCones,afterStorageLocation,afterStoredStatus,stConeCount,issuedStConeCount,message
95,69ae6208bec7c1c9b31c847f,BOX-PO-2026-506-NC-1614-1773036040224-37,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6208bec7c1c9b31c84b5,PO-2026-506,Soft top-Black-Black-Rubber/Soft top,6926a7b6a5ccbd9b84f7123d,14.085999999999999,0,36,B7-04-S0060-F03,true,,,,,,0,8,
96,699eaddfc926fc0fe8589876,BOX-PO-2026-309-2354105429-1772006879358-17,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699eaddfc926fc0fe858988d,PO-2026-309,30s-Brown-Brown-Cotton/Compact,6990479f0d1e1d92d97a84fc,5.357,0,10,B7-04-S0061-F04,true,,,,,,1,6,
97,699e7c64c926fc0fe8571b59,BOX-PO-2026-712-95685-1771994212415-22,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699e7c64c926fc0fe8571b72,PO-2026-712,20s-Brown-Brown-Cotton/Compact,6926a7b6a5ccbd9b84f713e7,1.549000000000003,0,18,B7-04-S0062-F03,true,,,,,,0,16,
98,699e7c64c926fc0fe8571b5c,BOX-PO-2026-712-95685-1771994212415-25,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699e7c64c926fc0fe8571b75,PO-2026-712,20s-Brown-Brown-Cotton/Compact,6926a7b6a5ccbd9b84f713e7,2.7940000000000005,0,18,B7-04-S0063-F03,true,,,,,,0,10,
99,699eaddfc926fc0fe8589863,BOX-PO-2026-309-2554104412-1772006879358-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699eaddfc926fc0fe8589883,PO-2026-309,30s-Brown-Brown-Cotton/Compact,6990479f0d1e1d92d97a84fc,9.677,0,20,B7-04-S0063-F04,true,,,,,,9,2,
100,69945467f0a2c8b07dc414e4,BOX-PO-2026-986-92178-1771328615255-90,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69945467f0a2c8b07dc41550,PO-2026-986,30s-Pastel Green-Tea-Cotton/Compact,6926a7b8a5ccbd9b84f717cf,1.9700000000000006,0,10,B7-05-S0001-F01,true,,,,,,4,5,
101,69945535f0a2c8b07dc4197f,BOX-PO-2026-415-2552306001-1771328821195-35,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69945535f0a2c8b07dc419c2,PO-2026-415,30s-Blue Melange-Blue Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c1,0.10800000000000054,0,8,B7-05-S0001-F01,true,,,,,,0,8,
102,699d917ec926fc0fe856c312,BOX-PO-2026-869-94385-1771934078209-24,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699d917ec926fc0fe856c341,PO-2026-869,30s-Navy-Navy-Cotton/Compact,6926a7b7a5ccbd9b84f716a5,14.933000000000007,0,40,B7-05-S0001-F01,true,,,,,,2,4,
103,699d917ec926fc0fe856c315,BOX-PO-2026-869-94385-1771934078209-27,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699d917ec926fc0fe856c344,PO-2026-869,30s-Navy-Navy-Cotton/Compact,6926a7b7a5ccbd9b84f716a5,14.34600000000001,0,40,B7-05-S0001-F01,true,,,,,,16,17,
104,699d917ec926fc0fe856c318,BOX-PO-2026-869-94385-1771934078209-30,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699d917ec926fc0fe856c347,PO-2026-869,30s-Navy-Navy-Cotton/Compact,6926a7b7a5ccbd9b84f716a5,8.030999999999999,0,40,B7-05-S0001-F01,true,,,,,,18,19,
105,69abf341777d8cba6a199647,BOX-PO-2026-1066-2562102345-1772876609586-4,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69abf341777d8cba6a19964c,PO-2026-1066,20s-Dark Brown Melange-Dark Brown Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713a9,31.407999999999994,0,24,B7-05-S0001-F01,true,,,,,,13,1,
