inputBarcode,action,reason,coneId,issueTxnId,orderId,orderno,articleId,articleNumber,machineId,yarnCatalogId,yarnName,returnTxnId,returnTxnGroupKey,moaYarnReturnStatusBefore,moaYarnReturnStatusAfter
69e9dc4c59aa9fc88a56844a,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568472,69ea52bd86f7ddd153dd4c39,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a56844b,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568473,69ea52b386f7ddd153dd4c1f,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a56844c,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568474,69ea52a786f7ddd153dd4beb,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568454,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56847c,69eaec5c86f7ddd153de7bb6,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568455,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56847d,69eaec7186f7ddd153de7c78,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568456,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56847e,69eaec6386f7ddd153de7c0d,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568457,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56847f,69eaec6d86f7ddd153de7c5e,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568458,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568480,69eaec4486f7ddd153de7b27,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568459,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568481,69eaec4b86f7ddd153de7b54,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a56845a,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568482,69eaec5486f7ddd153de7b8c,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689e2,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a0a,69ebde8986f7ddd153ebacf6,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1eb8236706eb42837eb6e,6926a7b6a5ccbd9b84f713e3|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e9dc7f59aa9fc88a5689ea,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a12,69eba1f086f7ddd153eba4c5,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689ec,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a14,69eba1cd86f7ddd153eba491,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689ed,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a15,69eba1e086f7ddd153eba4ab,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689ef,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a17,69eba20c86f7ddd153eba4f9,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689f0,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a18,69eba1fb86f7ddd153eba4df,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc7f59aa9fc88a5689f1,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a19,69ebdea186f7ddd153ebad10,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1eb8236706eb42837eb6e,6926a7b6a5ccbd9b84f713e3|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e9dc7f59aa9fc88a5689f2,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc7f59aa9fc88a568a1a,69eba1c186f7ddd153eba477,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
