inputBarcode,isValidObjectId,coneExistsAsId,reason,count
699aa55d43baeaf6e57a35,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a37,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a38,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a42,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a45,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a4b,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a4d,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e579d4,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e579e7,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e579f9,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e579fe,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e579ff,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a07,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a08,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a18,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a2c,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a30,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a36,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a39,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a3d,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d483baeaf6e57a44,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d4aeaf6e57a4e,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d4baeaf6e579c3,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d4baeaf6e57a05,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d4baeaf6e57a21,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d4baeaf6e57a58,false,not_checked,not_a_valid_objectid_24hex,1
699bd52943baeaf6e67a7a,false,not_checked,not_a_valid_objectid_24hex,1
699bd52943baeaf6e67a7e,false,not_checked,not_a_valid_objectid_24hex,1
699bd61643baeaf6e67f5b,false,not_checked,not_a_valid_objectid_24hex,1
699bd61643baeaf6e67f60,false,not_checked,not_a_valid_objectid_24hex,1
699bd6164baeaf6e67f5a,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e70541,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e7054b,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e7054e,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e70554,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e70556,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e70558,false,not_checked,not_a_valid_objectid_24hex,1
699bf93543baeaf6e7055a,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e70541,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e70542,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e70548,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e7054f,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e70551,false,not_checked,not_a_valid_objectid_24hex,1
699bf935483baeaf6e70553,false,not_checked,not_a_valid_objectid_24hex,1
699d8f30c6fc0fe856be08,false,not_checked,not_a_valid_objectid_24hex,1
699d8f30c6fc0fe856be14,false,not_checked,not_a_valid_objectid_24hex,1
699d9f7fc6fc0fe856d8f5,false,not_checked,not_a_valid_objectid_24hex,1
699da719c6fc0fe856e813,false,not_checked,not_a_valid_objectid_24hex,1
699da719c6fc0fe856e816,false,not_checked,not_a_valid_objectid_24hex,1
699da719c6fc0fe856e827,false,not_checked,not_a_valid_objectid_24hex,1
699e98d2c26fc0fe857e183,false,not_checked,not_a_valid_objectid_24hex,1
699e98d2c6fc0fe857e182,false,not_checked,not_a_valid_objectid_24hex,1
699e9903c26fc0fe857e413,false,not_checked,not_a_valid_objectid_24hex,1
699e9903cfc0fe857e411,false,not_checked,not_a_valid_objectid_24hex,1
699e9928c26fc0fe857e5bc,false,not_checked,not_a_valid_objectid_24hex,1
699e9928c6fc0fe857e5c5,false,not_checked,not_a_valid_objectid_24hex,1
699e998ec26fc0fe857eb98,false,not_checked,not_a_valid_objectid_24hex,1
699e9a60c6fc0fe857f569,false,not_checked,not_a_valid_objectid_24hex,1
699e9af9c6fc0fe857fbed,false,not_checked,not_a_valid_objectid_24hex,1
699e9de3c6fc0fe85820b1,false,not_checked,not_a_valid_objectid_24hex,1
699e9ea4c6fc0fe8582642,false,not_checked,not_a_valid_objectid_24hex,1
699e9eb9c26fc0fe8582727,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c26fc0fe858312a,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c26fc0fe8583132,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c26fc0fe8583133,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c26fc0fe8583134,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c6fc0fe858312c,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c6fc0fe858312e,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98c6fc0fe8583131,false,not_checked,not_a_valid_objectid_24hex,1
699e9f98cfc0fe8583130,false,not_checked,not_a_valid_objectid_24hex,1
699e9fb2c6fc0fe85832ba,false,not_checked,not_a_valid_objectid_24hex,1
